Data;Estação;Latitude;Longitude;Radiação Solar (W/m2);Precipitação (mm);Vel do Vento Média (km/h);Temp. Mínima (°C);Temp. Média (°C);Temp. Máxima (°C);Umidade Rel. Mín. (%);Umidade Rel. Média (%);Umidade Rel. Máxima (%);Rajada de Vento (km/h);Evapotranspiração (mm)
"01/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;8,7;19,86;19,97;20,12;93,84;94,47;95,13;19,4;4,6
"01/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;8,9;19,45;19,58;19,84;93,95;95,19;95,85;19,1;
"01/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;9;19,31;19,47;19,66;92,48;94,52;95,72;20,9;
"01/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;9,5;19,73;19,84;19,98;90,15;91,16;91,92;26,3;
"01/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;9,2;19,87;19,95;20,02;89,83;90,59;91,22;19,1;
"01/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,2;19,1;19,51;19,89;91,11;93,8;96,93;12,2;
"01/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";48;0;8,1;19,52;20,23;20,51;89,22;90,32;94,16;18,7;
"01/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";208;0;6,8;20,55;21,5;22,43;82,14;86,33;89,11;15,8;
"01/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";352;0;3,4;22,83;23,59;24,27;74,53;79,95;83,19;11,5;
"01/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";688;0;3,1;24,22;25,41;26,72;66,23;72,83;79,96;9,7;
"01/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";908;0;4,2;26,46;27,49;28,04;56,26;63,77;69,42;15,1;
"01/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";983;0;3,8;28,04;28,94;29,97;49,25;54,57;61,16;11,5;
"01/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";728;0;3,1;28,91;29,35;30,09;49,54;53,79;60,68;10,1;
"01/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";680;0;4,8;28,88;29,42;30,35;50,88;54,33;56,69;12,6;
"01/11/2025 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";495;0;4,9;29,4;29,87;30,44;48,36;50,86;55,84;16,2;
"01/11/2025 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";118;0;1,1;28,51;28,94;29,5;50,18;54,96;58,78;5;
"01/11/2025 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";154;0;3,6;27,28;27,67;28,34;59,31;64,74;70,16;9;
"01/11/2025 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";88;0;4,1;25,84;26,23;27;69,02;72,8;75;15,1;
"01/11/2025 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";24;0;3,3;24,7;25,41;25,86;74,06;75,29;77,42;14;
"01/11/2025 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,7;23,11;23,81;24,6;75,57;76,91;79;17,6;
"01/11/2025 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7;22,44;22,57;22,89;74,27;79,08;82,48;16,6;
"01/11/2025 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,9;22,01;22,33;22,83;73,55;77,73;80,49;18,4;
"01/11/2025 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;11,3;21,7;22,26;22,5;73,79;76,65;82,41;26,6;
"01/11/2025 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;10,4;22,08;22,53;22,86;75,2;76,98;78,47;31;
"02/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;16,4;22,68;22,92;23,07;72,48;74,4;77,61;32;1,7
"02/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;12,9;21,77;22,34;22,69;77,72;80,62;82,48;37,8;
"02/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,9;19,6;20,43;21,22;83,47;86,61;89,89;12,2;
"02/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;1;4;18,23;18,95;19,47;91,18;95,84;100;10,8;
"02/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;8,8;4,2;18;18,12;18,23;99,97;99,97;99,98;12,2;
"02/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,6;4,8;18,1;18,16;18,21;99,97;99,97;99,97;16,6;
"02/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";9;0;6,3;18,22;18,47;18,93;99,97;99,97;99,99;22,3;
"02/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";35;0;9,6;19,07;19,51;19,78;99,99;99,99;100;28,8;
"02/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";41;0,6;8,6;19,22;19,65;20,1;96,2;99,57;100;40;
"02/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";134;1,2;2,6;19,19;19,47;19,96;99,98;99,99;100;10,8;
"02/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";256;0;4,8;19,93;20,46;20,77;97,23;99,36;100;13,7;
"02/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";115;1,4;6,5;18,92;20,43;21,14;98,36;99,55;100;27;
"02/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";27;6,4;8,9;17,73;18,16;18,69;99,97;99,98;99,99;26,3;
"02/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";103;0,6;2,2;18,01;18,3;18,82;99,97;99,97;99,97;7,2;
"02/11/2025 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";339;0;6,2;18,99;20,15;21,73;90,36;97,95;100;15,8;
"02/11/2025 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";232;0;8,6;20,93;21,18;21,54;90,81;96,51;100;18,7;
"02/11/2025 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";299;0;5,9;21,16;22,01;22,3;86,19;89;95,35;13,7;
"02/11/2025 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";65;0;6,7;21,65;21,81;22,08;87,45;89,39;91,83;14;
"02/11/2025 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";2;0;4,1;20,86;21,38;21,7;88,95;92,35;97,07;12,6;
"02/11/2025 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,8;20,48;20,68;20,83;96,71;97,91;99,31;11,9;
"02/11/2025 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1;20,04;20,23;20,45;99,18;99,9;99,99;4,7;
"02/11/2025 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,7;19,91;20;20,13;99,98;99,98;99,98;4,3;
"02/11/2025 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,2;2,9;19,95;20,03;20,12;99,98;99,98;99,99;8,3;
"02/11/2025 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,9;19,75;19,87;19,97;99,99;99,99;99,99;10,1;
"03/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;3,4;3;19,23;19,49;19,77;99,98;99,98;99,99;8,3;4
"03/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,6;3,6;19,15;19,25;19,31;99,97;99,97;99,97;12,6;
"03/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;13,6;19,06;19,23;19,37;98,59;99,63;100;39,6;
"03/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;14,8;19,1;19,18;19,29;98,89;99,75;100;29,5;
"03/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;14,2;18,9;19,03;19,23;99,41;99,91;100;30,2;
"03/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;16,4;18,94;19,03;19,11;99,98;99,98;99,99;29,5;
"03/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";59;0;15,4;18,93;19,13;19,34;99,98;99,98;99,99;27,7;
"03/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";125;0;12,9;19,5;19,8;19,97;99,13;99,81;100;24,5;
"03/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";259;0;13,2;20,01;20,49;21,35;95,79;98,49;99,68;25,6;
"03/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";500;0;10,2;21,47;22,01;22,76;90,51;93,5;97,57;21,6;
"03/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";528;0;11,3;22,68;23,04;23,58;87,21;89,92;92,59;22,7;
"03/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";623;0;9,6;22,78;23,49;24,41;82,56;87,03;91,19;19,8;
"03/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";675;0;8,9;23,99;24,37;24,72;81,07;82,96;85,97;16,9;
"03/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";601;0;8,8;24,82;25,46;26,54;75,94;80,02;84,09;23;
