idStopReason;idBusinessUnit;stopReasonNumber;stopReasonName;stopReasonType;stopReasonColor;stopReasonProductive;stopReasonConsiderMachineOff;stopReasonEnable;stopReasonCreatedAt;stopReasonUpdatedAt
21286;53560;1;ABASTECIMENTO DE INSUMOS;EVENT_TYPE_PRODUCTIVE;8321456;False;False;True;1755804525;1755806837
21287;53560;2;ABASTECIMENTO;EVENT_TYPE_ADMINISTRATIVE;10645143;False;False;True;1755804603;1755806846
21288;53560;3;AGUARDANDO ÁREA/ORDEM;EVENT_TYPE_ADMINISTRATIVE;7112170;False;False;True;1755804663;1755806861
21289;53560;4;AGUARDANDO CAMINHÃO;EVENT_TYPE_PRODUCTIVE;5037956;False;False;True;1755804893;1755806872
21290;53560;5;AGUARDANDO MECÂNICO;EVENT_TYPE_MAINTENANCE;10700196;False;False;True;1755805110;1755806882
21291;53560;6;AGUARDANDO PEÇA;EVENT_TYPE_MAINTENANCE;9274320;False;False;True;1755805131;1755806891
21292;53560;7;AQUECIMENTO DE MÁQUINA;EVENT_TYPE_MAINTENANCE;1570916;False;False;True;1755805154;1755806900
21293;53560;8;CONDIÇÕES CLIMATICAS;EVENT_TYPE_CLIMATE;3808855;False;False;True;1755805184;1755806913
21294;53560;9;ENCALHADO;EVENT_TYPE_CLIMATE;4549684;False;False;True;1755805203;1755806922
21295;53560;10;FALTA DE COMBUSTÍVEL/LUBRIFICAÇÃO;EVENT_TYPE_MAINTENANCE;15967146;False;False;True;1755805262;1755806935
21296;53560;11;FALTA DE INSUMO;EVENT_TYPE_ADMINISTRATIVE;4444194;False;False;True;1755805965;1755806946
21297;53560;12;FIM DE TURNO;EVENT_TYPE_ADMINISTRATIVE;3487482;False;False;True;1755805992;1755806957
21298;53560;13;GPS INVÁLIDO;EVENT_TYPE_PRODUCTIVE;781192;False;False;True;1755806014;1755806968
21299;53560;14;INSUMO EMPEDRADO;EVENT_TYPE_PRODUCTIVE;16219298;False;False;True;1755806051;1755806981
21300;53560;15;LIMPEZA DO SENSOR;EVENT_TYPE_MAINTENANCE;16350177;False;False;True;1755806084;1755806993
21301;53560;16;LIMPEZA;EVENT_TYPE_SCHEDULED;576938;False;False;True;1755806115;1755807004
21302;53560;17;MANUTENÇÃO NO IMPLEMENTO;EVENT_TYPE_MAINTENANCE;797033;False;False;True;1755806688;1755807019
21303;53560;18;MANUTENÇÃO DE MÁQUINA;EVENT_TYPE_MAINTENANCE;6741112;False;False;True;1755806713;1755807030
21304;53560;19;MÁQUINA QUEBRADA;EVENT_TYPE_MAINTENANCE;7744923;False;False;True;1755806739;1755807042
21305;53560;20;NECESSIDADES FISIOLÓGICAS;EVENT_TYPE_ADMINISTRATIVE;1811703;False;False;True;1755806766;1755807057
21306;53560;21;REFEIÇÃO;EVENT_TYPE_ADMINISTRATIVE;4508186;False;False;True;1755806784;1755807070
21307;53560;22;REGULAGEM E CALIBRAÇÃO;EVENT_TYPE_PRODUCTIVE;6063721;False;False;True;1755806812;1755807085
21979;53560;23;DESEMTUPIR LINHA DE ADUBO;EVENT_TYPE_MAINTENANCE;6908524;True;False;True;1762260663;1762260663
22144;53560;24;LIMPEZA CARRINHO;EVENT_TYPE_MAINTENANCE;4581375;False;False;True;1763042394;1763042394
