idAgriculturalActivity;idBusinessUnit;agriculturalActivityNumber;agriculturalActivityName;agriculturalActivityEnable;agriculturalActivityCreatedAt;agriculturalActivityUpdatedAt;idStopReason
19408;53560;4;PLANTIO;True;1755713938;1755713938;21286
19407;53560;3;ADUBAÇÃO;True;1755713913;1755713913;21286
19405;53560;1;PULVERIZAÇÃO;True;1755713696;1760703760;21286
19409;53560;5;COLHEITA;True;1755713954;1755713954;21289
19408;53560;4;PLANTIO;True;1755713938;1755713938;21289
19405;53560;1;PULVERIZAÇÃO;True;1755713696;1760703760;21289
19410;53560;6;SERVIÇOS GERAIS;True;1755714348;1755714348;21289
19405;53560;1;PULVERIZAÇÃO;True;1755713696;1760703760;21296
19407;53560;3;ADUBAÇÃO;True;1755713913;1755713913;21296
19408;53560;4;PLANTIO;True;1755713938;1755713938;21296
19407;53560;3;ADUBAÇÃO;True;1755713913;1755713913;21299
19408;53560;4;PLANTIO;True;1755713938;1755713938;21299
19405;53560;1;PULVERIZAÇÃO;True;1755713696;1760703760;21302
19406;53560;2;PREPARO DE SOLO;True;1755713781;1755713781;21302
19407;53560;3;ADUBAÇÃO;True;1755713913;1755713913;21302
19408;53560;4;PLANTIO;True;1755713938;1755713938;21302
19410;53560;6;SERVIÇOS GERAIS;True;1755714348;1755714348;21302
19408;53560;4;PLANTIO;True;1755713938;1755713938;21979
19408;53560;4;PLANTIO;True;1755713938;1755713938;22144
